Week,Home,Away,Conditions,Temperature,Wind
1,Texans ,Chiefs ,Ncloudy ,58f Overcast ,6m NNE 
1,Eagles ,Washington ,Partly-cloudy-day ,76f Partly Cloudy ,4m S 
1,Dolphins ,Patriots ,Clear-day ,73f Clear ,6m S 
1,Packers ,Vikings ,Dome ,DOME ,2m SW 
1,Colts ,Jaguars ,Partly-cloudy-day ,86f Humid and Mostly Cloudy ,8m ESE 
1,Bears ,Lions ,Dome ,DOME ,11m W 
1,Raiders ,Panthers ,Clear-day ,79f Clear ,3m NE 
1,Jets ,Bills ,Cloudy ,65f Overcast ,12m SSW 
1,Browns ,Ravens ,Partly-cloudy-day ,75f Partly Cloudy ,5m SSE 
1,Seahawks ,Falcons ,Dome ,DOME ,3m ESE 
1,Chargers ,Bengals ,Partly-cloudy-day ,83f Mostly Cloudy ,4m WNW 
1,Cardinals ,49ers ,Clear-day ,71f Clear ,6m NW 
1,Buccaneers ,Saints ,Dome ,DOME ,10m ENE 
1,Cowboys ,Rams ,Dome ,DOME ,7m W 
1,Steelers ,Giants ,Nclear-night ,70f Clear ,10m NNW 
1,Titans ,Broncos ,Nfog ,78f Foggy ,7m NE 
2,Bengals ,Browns ,Nclear-night ,64f Clear ,6m NNE 
2,Jaguars ,Titans ,Clear-day ,73f Clear ,5m ENE 
2,Panthers ,Buccaneers ,Partly-cloudy-day ,87f Humid and Mostly Cloudy ,14m NE 
2,Broncos ,Steelers ,Clear-day ,64f Clear ,2m ESE 
2,Rams ,Eagles ,Clear-day ,62f Clear ,8m NE 
2,49ers ,Jets ,Clear-day ,61f Clear ,9m NE 
2,Bills ,Dolphins ,Partly-cloudy-day ,89f Humid and Partly Cloudy ,7m ESE 
2,Vikings ,Colts ,Dome ,DOME ,10m E 
2,Lions ,Packers ,Clear-day ,67f Clear ,11m S 
2,Falcons ,Cowboys ,Clear-day ,73f Clear ,7m NE 
2,Giants ,Bears ,Clear-day ,65f Clear ,9m SE 
2,Washington ,Cardinals ,Dome ,DOME ,3m ESE 
2,Chiefs ,Chargers ,Dome ,DOME ,6m WSW 
2,Ravens ,Texans ,Rain ,74f Rain ,15m NNE 
2,Patriots ,Seahawks ,Npartly-cloudy-day ,68f Partly Cloudy ,3m WNW 
2,Saints ,Raiders ,Dome ,DOME ,13m SSE 
3,Texans ,Steelers ,Clear-day ,76f Clear ,3m WSW 
3,Bengals ,Eagles ,Partly-cloudy-day ,76f Mostly Cloudy ,3m ESE 
3,49ers ,Giants ,Partly-cloudy-day ,77f Partly Cloudy ,4m SSE 
3,Raiders ,Patriots ,Partly-cloudy-day ,76f Mostly Cloudy ,7m S 
3,Titans ,Vikings ,Dome ,DOME ,11m W 
3,Washington ,Browns ,Clear-day ,77f Clear ,13m SSW 
3,Rams ,Bills ,Clear-day ,75f Clear ,13m SSW 
3,Bears ,Falcons ,Dome ,DOME ,3m SSW 
3,Panthers ,Chargers ,Dome ,DOME ,5m SW 
3,Jets ,Colts ,Dome ,DOME ,10m SSW 
3,Cowboys ,Seahawks ,Clear-day ,64f Clear ,3m N 
3,Buccaneers ,Broncos ,Fog ,54f Foggy ,4m N 
3,Lions ,Cardinals ,Dome ,DOME ,4m SW 
3,Packers ,Saints ,Dome ,DOME ,5m SE 
3,Chiefs ,Ravens ,Nclear-night ,72f Clear ,8m SSE 
4,Broncos ,Jets ,Npartly-cloudy-night ,65f Mostly Cloudy ,4m SW 
4,Ravens ,Washington ,Clear-day ,66f Clear ,4m ENE 
4,Chargers ,Buccaneers ,Cloudy ,75f Humid and Overcast ,7m NNE 
4,Seahawks ,Dolphins ,Partly-cloudy-day ,86f Humid and Mostly Cloudy ,13m SE 
4,Vikings ,Texans ,Clear-day ,79f Clear ,2m NNE 
4,Saints ,Lions ,Dome ,DOME ,5m SW 
4,Browns ,Cowboys ,Clear-day ,73f Clear ,11m NE 
4,Jaguars ,Bengals ,Partly-cloudy-day ,66f Partly Cloudy ,8m SW 
4,Colts ,Bears ,Partly-cloudy-day ,49f Partly Cloudy ,12m NNW 
4,Cardinals ,Panthers ,Clear-day ,65f Clear ,5m NE 
4,Giants ,Rams ,Dome ,DOME ,3m WSW 
4,Bills ,Raiders ,Dome ,DOME ,4m E 
4,Eagles ,49ers ,Nclear-day ,84f Clear ,6m NW 
4,Patriots ,Chiefs ,Nclear-day ,70f Clear ,11m S 
4,Falcons ,Packers ,Nclear-night ,53f Clear ,12m SSW 
5,Buccaneers ,Bears ,Nclear-night ,57f Clear ,6m ENE 
5,Rams ,Washington ,Rain ,70f Possible Drizzle ,3m SSE 
5,Eagles ,Steelers ,Partly-cloudy-day ,69f Mostly Cloudy ,5m NE 
5,Cardinals ,Jets ,Partly-cloudy-day ,65f Mostly Cloudy ,7m NE 
5,Raiders ,Chiefs ,Clear-day ,77f Clear ,12m SSE 
5,Jaguars ,Texans ,Clear-day ,85f Humid ,7m SW 
5,Bengals ,Ravens ,Partly-cloudy-day ,69f Mostly Cloudy ,5m ESE 
5,Panthers ,Falcons ,Dome ,DOME ,8m SW 
5,Dolphins ,49ers ,Clear-day ,73f Clear ,8m NNW 
5,Giants ,Cowboys ,Clear-day ,94f Clear ,10m S 
5,Colts ,Browns ,Partly-cloudy-day ,63f Mostly Cloudy ,13m NE 
5,Vikings ,Seahawks ,Nrain ,56f Drizzle ,13m S 
5,Chargers ,Saints ,Dome ,DOME ,5m SW 
5,Bills ,Titans ,Nclear-day ,66f Clear ,2m NNW 
6,Broncos ,Patriots ,Partly-cloudy-day ,58f Partly Cloudy ,6m SE 
6,Texans ,Titans ,Partly-cloudy-day ,61f Mostly Cloudy ,6m S 
6,Browns ,Steelers ,Partly-cloudy-day ,60f Mostly Cloudy ,8m ESE 
6,Ravens ,Eagles ,Clear-day ,64f Clear ,7m SE 
6,Washington ,Giants ,Partly-cloudy-day ,63f Partly Cloudy ,11m SSE 
6,Falcons ,Vikings ,Dome ,DOME ,9m WNW 
6,Lions ,Jaguars ,Partly-cloudy-day ,79f Humid and Partly Cloudy ,9m ENE 
6,Bengals ,Colts ,Dome ,DOME ,11m SSW 
6,Bears ,Panthers ,Clear-day ,61f Clear ,4m NE 
6,Jets ,Dolphins ,Partly-cloudy-day ,82f Humid and Partly Cloudy ,14m ENE 
6,Packers ,Buccaneers ,Partly-cloudy-day ,86f Partly Cloudy ,15m NE 
6,Rams ,49ers ,Nclear-day ,83f Clear ,6m NW 
6,Chiefs ,Bills ,Cloudy ,50f Overcast ,3m SE 
6,Cardinals ,Cowboys ,Nclear-night ,64f Clear ,4m NNE 
7,Giants ,Eagles ,Npartly-cloudy-night ,68f Partly Cloudy ,3m SE 
7,Steelers ,Titans ,Cloudy ,58f Overcast ,2m N 
7,Cowboys ,Washington ,Cloudy ,46f Overcast ,6m NE 
7,Bills ,Jets ,Partly-cloudy-day ,50f Partly Cloudy ,6m NE 
